experiment_id,display_name,evidence_class,body_assignment,fprop,dgrad,wgrad,gemm_weight_encoding,gradient_rounding,hadamard_contract,bf16_body_islands,output_head,loss_path,model_seed,sr_seed,hardware,world_size,local_batch,gradient_accumulation,step_contract,scientific_status
mxfp4-col-h16-localcta-dgrad-v1-long,Operand-wise MXFP4/localCTA plain-H16 long run,long_training,same contraction split in every block,MXFP4-v4,localCTA-v4,MXFP4-v4 plus paired plain H16 on X and dY,two encodings from one BF16 source: MX 2D32 and localCTA 2D16,localCTA row gradient-data SR,paired plain H16 with D=I on Wgrad operands; no localCTA transform; stored weight untransformed,none,ordinary BF16,loss-only Inductor regular CE,42,1234; subsequence 0; 128 logical producers,GB200 to B200,64,4,2,fresh r2 through step 37000; exact full-state r15 continuation through step 38147; metrics through step 38140,scientifically complete training trajectory; corrected scaled-RoPE downstream panel complete; topology change recorded
bf16-seed42-w32-s2000,BF16 seed-42 correction control,seed_control,BF16 blocks 1-32,BF16,BF16,BF16,BF16 parameter/master,n/a,none,all body linears,ordinary BF16,eager regular CE,42,n/a,GB200,32,2,8,fresh steps 1-2000,offset estimator only; not a replacement long run
te-native-seed42-w32-s2000,TE-native seed-42 correction control,seed_control,global NVFP4 blocks 1-32,global NVFP4,global NVFP4,global NVFP4 plus paired signed H16,TE 2D16,TE gradient SR,TE-managed paired signed H16 on Wgrad operands; sign lifetime unrecovered,none,ordinary BF16,eager regular CE,42,TE-managed,GB200,32,2,8,fresh steps 1-2000,offset estimator only; source aggregate bytes not mirrored; performance row not rendered
bf16-compiled-w32-s100,BF16 compiled-CE performance probe,performance_probe,BF16 blocks 1-32,BF16,BF16,BF16,BF16 parameter/master,n/a,none,all body linears,ordinary BF16,loss-only Inductor regular CE,42,n/a,GB200,32,2,8,fresh steps 1-100; scored 40-100,complete compiled-CE performance evidence; aggregate SHA256 9d5330a802a8f38707b5b85fae32255ae345a7ba65f0817f7b87385e238535e0
te-native-compiled-w32-s100,Clean full-body TE performance probe,performance_probe,global NVFP4 blocks 1-32,global NVFP4,global NVFP4,global NVFP4 plus paired signed H16,TE 2D16,TE gradient SR,TE-managed paired signed H16 on Wgrad operands; sign lifetime unrecovered,none,ordinary BF16,loss-only Inductor regular CE,42,TE-managed,GB200,32,2,8,fresh steps 1-100; scored 40-100,complete compiled-CE performance evidence; aggregate SHA256 c02e49abdc83e614f9089658180a623d8154a9a114600d173360ccff1bbf5753
te-f0l4-compiled-w32-s100,TE F0L4 performance probe,performance_probe,TE NVFP4 blocks 1-28; BF16 blocks 29-32,assigned by block,assigned by block,assigned by block,TE 2D16 in NVFP4 blocks; BF16 in final four,TE gradient SR,TE-managed paired signed H16 on NVFP4 Wgrad operands; sign lifetime unrecovered,blocks 29-32,ordinary BF16,loss-only Inductor regular CE,42,TE-managed,GB200,32,2,8,fresh steps 1-100; scored 40-100,complete compiled-CE performance evidence; aggregate SHA256 b815bc889380eceb3d511439f8b327359fdfcc7ef48037d09ac440e7b46ceabb
pure-v5-compiled-w32-s100,Global-v5 performance probe,performance_probe,global v5 blocks 1-32,global NVFP4 v5,global NVFP4 v5,global NVFP4 v5,custom shared 2D16,row gradient-data SR,none,none,ordinary BF16,loss-only Inductor regular CE,42,exact compiled-probe SR seed unrecovered,GB200,32,4,4,fresh steps 1-100; scored 40-100,complete compiled-CE performance evidence; aggregate SHA256 298e225987a23afc10a0b90362cef0d717caf58e755bf2a26a00b29c8917676c
mxfp4-compiled-w32-s100,MXFP4-v4 compiled-CE performance probe,performance_probe,MXFP4-v4 blocks 1-32,MXFP4,MXFP4,MXFP4,custom 2D32,row gradient-data SR,none,none,ordinary BF16,loss-only Inductor regular CE,42,1234,GB200,32,4,4,fresh steps 1-100; scored 40-100,complete compiled-CE performance evidence; corrected aggregate SHA256 12e7a4502a0974b09cee9e573dc4fb4b55533fa0f8d6e1aa71901486bcf5928d
mxfp4-fixed-h32-compiled-w32-s100,MXFP4-v4 fixed-H32 compiled-CE performance probe,performance_probe,MXFP4-v4 blocks 1-32,MXFP4,MXFP4,MXFP4 plus paired fixed-sign H32,custom 2D32; no weight transform,row gradient-data SR,fixed 0x2817 low-16 motif repeated across both H32 thread halves; paired on Wgrad X and dY only,none,ordinary BF16,loss-only Inductor regular CE,42,1234; subsequence 0; 128 logical producers,GB200,32,4,4,fresh steps 1-100; scored 40-100,complete publication-ready cross-node aggregate; 32 records per step; aggregate SHA256 db5842fd38ae1466a6b1dc875163c8cbf564b9d18c1fceb3102fe201ef1e3121
localcta-compiled-current-w32-s100,localCTA-v4 row-SR compiled-CE performance probe,performance_probe,localCTA-v4 blocks 1-32,localCTA NVFP4,localCTA NVFP4,localCTA NVFP4,custom 2D16 with FP32 outer scales,row gradient-data SR,none,none,ordinary BF16,loss-only Inductor regular CE,42,0,GB200,32,4,4,fresh steps 1-100; scored 40-100,complete compiled-CE performance evidence; geometry/loss matched but code and async-telemetry lineage differ from the old custom trio; aggregate SHA256 ce7f3147e212ea5478fa7dd5ac45d28b4224ad0b491ed4afb3ec4bce1488af05
localcta-h16-compiled-current-w32-s100,localCTA-v4 row-SR plus fixed-sign H16 performance probe,performance_probe,localCTA-v4 blocks 1-32,localCTA NVFP4,localCTA NVFP4,localCTA NVFP4 plus paired signed H16,custom 2D16 with FP32 outer scales; stored weight untransformed,row gradient-data SR,literal fixed 0x00002817; low 16 bits consumed once for paired H16 on Wgrad X and dY only,none,ordinary BF16,loss-only Inductor regular CE,42,0,GB200,32,4,4,fresh steps 1-100; scored 40-100 in bracketed A/B/A campaign,complete compiled-CE performance evidence; phase256 split2 paired-carrier path; aggregate SHA256 0b64999d874f25fa5eb38d20761030f4d65485adad7ce4f0c5ccc0db80de8815
layer-hybrid-compiled-w32-s100,27/5 layer-hybrid compiled-CE performance probe,performance_probe,localCTA-v4 blocks 1-27; MXFP4-v4 blocks 28-32,format assigned by block,format assigned by block,format assigned by block,localCTA 2D16 or MXFP4 2D32 by block,row gradient-data SR in both namespaces,none,none,ordinary BF16,loss-only Inductor regular CE,42,localCTA 0; MXFP4 1099511627776,GB200,32,4,4,fresh steps 1-100; scored 40-100,complete compiled-CE performance evidence; aggregate SHA256 0db47e6bb28f7017d2371619165b8f826a441a749d6d54ed1348d7afcb7c5a55
operand-hybrid-plain-h16-compiled-w32-s100,Operand-wise MXFP4/localCTA plain-H16 performance probe,performance_probe,same contraction split in every block,MXFP4-v4,localCTA-v4,MXFP4-v4 plus paired plain H16,two encodings from one BF16 source: MX 2D32 and localCTA 2D16,localCTA row gradient-data SR,paired plain H16 with D=I on Wgrad X and dY; stored weight untransformed,none,ordinary BF16,loss-only Inductor regular CE,42,1234; subsequence 0; 128 logical producers,GB200,32,4,4,fresh steps 1-100; scored 40-100; 12800 position-indexed batch records matched the H32 arm byte-for-byte,complete performance evidence; repeated benchmark input is not quality evidence; joint RESULT payload SHA256 6c0331b6d54990222b69dfbe20cc15b2d6dbd81758e08fa3f41d17d3785f3749
operand-hybrid-fixed-h32-compiled-w32-s100,Operand-wise MXFP4/localCTA fixed-H32 performance probe,performance_probe,same contraction split in every block,MXFP4-v4,localCTA-v4,MXFP4-v4 plus paired fixed-sign H32,two encodings from one BF16 source: MX 2D32 and localCTA 2D16,localCTA row gradient-data SR,fixed H32: 0x2817 low-16 motif repeated in each thread half; paired on Wgrad X and dY; stored weight untransformed,none,ordinary BF16,loss-only Inductor regular CE,42,1234; subsequence 0; 128 logical producers,GB200,32,4,4,fresh steps 1-100; scored 40-100; 12800 position-indexed batch records matched the H16 arm byte-for-byte,complete performance evidence; repeated benchmark input is not quality evidence; joint RESULT payload SHA256 6c0331b6d54990222b69dfbe20cc15b2d6dbd81758e08fa3f41d17d3785f3749
mxfp4-eager-w32-s100,MXFP4-v4 legacy performance probe,performance_probe,MXFP4-v4 blocks 1-32,MXFP4,MXFP4,MXFP4,custom 2D32,row gradient-data SR,none,none,ordinary BF16,eager regular CE,42,1234,GB200,32,4,4,fresh steps 1-100; scored 40-100,complete legacy performance evidence; not compiled-CE
localcta-eager-w32-s100,localCTA-v4 legacy performance probe,performance_probe,localCTA-v4 blocks 1-32,localCTA NVFP4,localCTA NVFP4,localCTA NVFP4,custom 2D16 with FP32 outer scales,row gradient-data SR,none,none,ordinary BF16,eager regular CE,42,0,GB200,32,4,4,fresh steps 1-100; scored 40-100,complete legacy performance evidence; not compiled-CE
layer-hybrid-eager-w32-s100,27/5 layer-hybrid legacy performance probe,performance_probe,localCTA-v4 blocks 1-27; MXFP4-v4 blocks 28-32,format assigned by block,format assigned by block,format assigned by block,localCTA 2D16 or MXFP4 2D32 by block,row gradient-data SR in both namespaces,none,none,ordinary BF16,eager regular CE,42,localCTA 0; MXFP4 1099511627776,GB200,32,4,4,fresh steps 1-100; scored 40-100,complete legacy performance evidence; not compiled-CE
compiled-ce-four-route-r15,Recovered four-route compiled-CE replacement suite,unexecuted_capsule,serial MXFP4-v4; localCTA-v4; pure v5; 27/5 layer hybrid,varies by route,varies by route,varies by route,sealed route-specific 2D encodings,sealed route-specific row SR,none in r15 custom routes,none,ordinary BF16,loss-only Inductor regular CE,42,sealed route-specific state,GB200,32,4,4,100 updates per route; intended score 40-100,inert recipe contract only
localcta-rht-step36k-tail,Tail-resumed localCTA fixed-sign H16 diagnostic,diagnostic_resume,localCTA-v4 blocks 1-32,localCTA NVFP4,localCTA NVFP4,localCTA NVFP4 with paired fixed-sign H16 column transform,custom 2D16; stored weight untransformed,row gradient-data SR,literal fixed 0x00002817; low 16 bits consumed once for paired H16 on activation and dY entering Wgrad,none,ordinary BF16,regular CE; exact compile state retained in capsule,resumed checkpoint state,checkpointed state,GB200,32,not recovered in report mirror,not recovered in report mirror,exact step-36000 resume for 2000-update directional screen,directional only; runtime/hardware/resume state changed
step28k-dgrad-error-microscope,Same-state production-2D Dgrad error microscope,numerical_diagnostic,all 32 blocks; QKV Wo FFN comparisons across three aligned capture batches,not scored,MXFP4 plain H16 versus localCTA row-SR,not scored,MXFP4 production 2D32 and localCTA production 2D16 from the same saved BF16 tensors,localCTA row gradient-data SR; MXFP4 fresh diagnostic namespace,MXFP4 paired plain H16 (D=I) on X and dY; activation and gradient transforms enabled; weight transform disabled; block size 16; no random sign mask,n/a,n/a,n/a,saved checkpoint state,route-specific diagnostic state,local replay,n/a,n/a,n/a,exact step-28000 tensors from H32-trained source state; 96 paired comparisons per capture across batches 0 1 2; four stochastic candidate tensors averaged before error energy,CTA-local lower Dgrad error in 288/288 cells than MXFP4 plain-H16 replay; equal-cell geometric-mean MXFP4/CTA-local ratio 1.292081; receipt SHA256 ec6195bc33a03c6ee8865094d7f2a6f60bb1130da8a0cecde436d597556a9b62; motivates candidate only
operand-hybrid-abba-resume,Operand-hybrid correctness speed and resume gates,promotion_gate,operand-wise candidate versus native MXFP4+RHT control,MXFP4,localCTA,MXFP4 plus plain paired H16,MX 2D32 plus localCTA 2D16 encodings from one BF16 source,localCTA row gradient-data SR,plain H16 D=I on Wgrad operands,none,ordinary BF16,loss-only Inductor regular CE,42,1234,GB200,4,sealed same geometry,sealed same geometry,ABBA timing plus 12-step resume smoke,correctness/resources/resume passed; 97.474% control throughput
scaledrope-step38-downstream-r25,Corrected exact step-38k downstream panel,downstream_evaluation,BF16; TE-native NVFP4; global NVFP4 v5; MXFP4 row-SR; localCTA-v4; 27/5 depth hybrid; operand H16 hybrid; localCTA fixed H16; MXFP4 fixed H32,BF16 inference,n/a,n/a,converted BF16 checkpoint tensors,n/a,n/a,n/a,BF16 inference,lm-eval-harness 0.4.12; Transformers 4.48.2; training-scaled RoPE and TorchTitan RMSNorm,42 evaluation seed,n/a,evaluation infrastructure,1,n/a,n/a,literal step 38000; MMLU 5-shot; HellaSwag 10-shot; WinoGrande 5-shot; ARC-Challenge 25-shot,immutable nine-route predecessor; superseded as publication authority by scaledrope-step38-downstream-r26-final
fixed-external-validation-r22,Fixed external validation checkpoint panel,validation_evaluation,BF16; TE-native NVFP4; TE NVFP4 with four final BF16 blocks; global NVFP4 v5; MXFP4 row-SR; MXFP4 fixed H32; localCTA-v4; localCTA fixed H16; 27/5 depth hybrid; operand H16; operand H32,BF16 inference,n/a,n/a,converted BF16 checkpoint tensors,n/a,n/a,route-specific,BF16 inference,fixed 768-sequence external stream; FP64 sequence and token accumulation; training-scaled RoPE and TorchTitan RMSNorm,route-specific training seed; deterministic evaluation,n/a,evaluation infrastructure,32,n/a,n/a,literal cuts at steps 2000 3000 10000 18000 19000 29000 38000 where exact checkpoints exist; nearby or interpolated substitutes prohibited,immutable 44-cell predecessor; superseded as publication authority by fixed-external-validation-r27-final
superseded-nine-route-downstream,Superseded checkpoint downstream panel,superseded_evaluation,nine literal step-38000 checkpoints; no terminal substitution,BF16 inference,BF16 inference,n/a,converted BF16 checkpoint tensors,n/a,n/a,n/a,BF16 inference,lm-eval-harness 0.4.12; Transformers 4.48.2,42 evaluation seed,n/a,evaluation infrastructure,1,n/a,n/a,MMLU 5-shot; HellaSwag 10-shot; WinoGrande 5-shot; ARC-Challenge 25-shot,superseded and excluded; corrected training-RoPE reruns are sealed in the r25 and r26 rows
mxfp4-rht-wikitext2-terminal-superseded,MXFP4 fixed-H32 terminal WikiText-2 diagnostic (superseded),superseded_validation,terminal MXFP4+RHT checkpoint,BF16 inference,BF16 inference,n/a,converted BF16 checkpoint tensors,n/a,n/a,n/a,BF16 inference,FP32 CE accumulation; 2048-token chunks,42 evaluation seed,n/a,evaluation infrastructure,1,n/a,n/a,exact step-38147 checkpoint,superseded; no-scaling RoPE did not match training and the scalar is excluded
mfu-fixed-olmo-heldout-curve,Quarantined cross-route post-cursor validation r2,quarantined_validation_diagnostic,nine admitted Llama routes at five common literal cuts; F0L4 explicitly 28 TE-native NVFP4 plus 4 ordinary BF16 layers,learned-weight BF16 inference,n/a,n/a,converted BF16 checkpoint tensors,n/a,n/a,n/a,BF16 inference,FP32 cross entropy; FP64 per-sequence and total accumulation,42 evaluation seed,n/a,evaluation infrastructure,not fixed,n/a,n/a,"literal cuts 2000 10000 18000 29000 38000; 39 verified, 5 empty, 1 undeclared; terminal nearby interpolated and cross-lineage substitutions prohibited",quarantined; three endpoint NLLs retained only for postmortem; no held-out claim model ranking relative-loss table or curve; r3 requires route-wise document/hash independence and a stratified three-route pilot
head-bf16-control,Output-head BF16 control,output_head_gate,body route not retained in aggregate,BF16 head,BF16 dHidden,BF16 dW,BF16,n/a,none,body metadata not retained,BF16,matched gate loss path,not recovered,n/a,not recovered,not recovered,not recovered,not recovered,short whole-trainer gate,stable matched control; 34001.64 tokens/s/GPU
head-lowp-bf16-bf16,Selective low-precision-head arm,output_head_gate,body route not retained in aggregate,lowp forward format identifier not retained,BF16 dHidden,BF16 dW,forward carrier not retained,candidate-specific,candidate-specific,body metadata not retained,low-precision forward,matched gate loss path,not recovered,not recovered,not recovered,not recovered,not recovered,not recovered,short whole-trainer gate,rejected: slower than control and loss mismatch
head-lowp-bf16-mxfp8,Selective low-precision-head plus MXFP8 dW arm,output_head_gate,body route not retained in aggregate,lowp forward format identifier not retained,BF16 dHidden,MXFP8 dW,forward carrier not retained,candidate-specific,candidate-specific,body metadata not retained,low-precision forward,matched gate loss path,not recovered,not recovered,not recovered,not recovered,not recovered,not recovered,short whole-trainer gate,rejected: slower than control and loss/gradient mismatch
head-compiled-ce-gate,BF16-head compiled regular-CE gate,output_head_gate,body route and geometry not retained in aggregate,BF16 head,BF16 dHidden,BF16 dW,BF16,n/a,none,body metadata not retained,BF16,loss-only Inductor regular CE,not recovered,n/a,not recovered,not recovered,not recovered,not recovered,short matched gate,promoted loss path; 33712.83 versus 33789.41 native reference
te-f0l4-seed42-final-long,"TE NVFP4 with final four BF16 blocks, completed trajectory",long_training,TE NVFP4 blocks 1-28; BF16 blocks 29-32,assigned by block,assigned by block,assigned by block,TE 2D16 in NVFP4 blocks; BF16 in final four,TE gradient SR in NVFP4 blocks,TE-managed paired signed H16 on NVFP4 Wgrad operands; sign lifetime unrecovered,blocks 29-32,ordinary BF16,loss-only Inductor regular CE,42,TE-managed,B200,32,2,8,0-38147 across exact full-state continuations; 3815 logged observations through step 38140,scientifically complete; supersedes the partial te-f0l4-long-attempt row without rewriting it
operand-hybrid-fixed-h32-final-long,Operand-wise MXFP4/localCTA fixed-H32 completed trajectory,long_training,same contraction split in every block,MXFP4-v4,localCTA-v4,MXFP4-v4 plus paired fixed-sign H32 on X and dY,two encodings from one BF16 source: MX 2D32 and localCTA 2D16,localCTA row gradient-data SR,fixed H32: 0x2817 low-16 motif repeated in each thread half; paired on Wgrad X and dY; stored weight untransformed,none,ordinary BF16,loss-only Inductor regular CE,42,1234; subsequence 0; 128 logical producers,GB200,64,4,2,0-38147 across exact full-state continuations; 3815 logged observations through step 38140,scientifically complete; does not dominate the pure MXFP4 fixed-H32 route
fixed-external-validation-r27-final,Fixed external validation checkpoint panel r27,validation_evaluation,eleven eligible Llama routes at their available literal checkpoint cuts,BF16 inference,n/a,n/a,converted BF16 checkpoint tensors,n/a,n/a,route-specific,BF16 inference,fixed 768-sequence external stream; FP64 sequence and token accumulation; training-scaled RoPE and TorchTitan RMSNorm,route-specific training seed; deterministic evaluation,n/a,evaluation infrastructure,32,n/a,n/a,49 exact route-cut cells; nearby or interpolated substitutes prohibited,superseded publication predecessor; fixed external stream is not claimed proven held out from every historical trajectory
fixed-external-validation-r28-final,Final fixed external validation checkpoint panel,validation_evaluation,eleven eligible Llama routes at their available literal checkpoint cuts,BF16 inference,n/a,n/a,converted BF16 checkpoint tensors,n/a,n/a,route-specific,BF16 inference,fixed 768-sequence external stream; FP64 sequence and token accumulation; training-scaled RoPE and TorchTitan RMSNorm,route-specific training seed; deterministic evaluation,n/a,evaluation infrastructure,32,n/a,n/a,58 exact route-cut cells; nearby or interpolated substitutes prohibited,final publication authority; fixed external stream is not claimed proven held out from every historical trajectory
scaledrope-step38-downstream-r26-final,Final exact step-38k downstream panel,downstream_evaluation,eleven literal step-38000 Llama routes,BF16 inference,n/a,n/a,converted BF16 checkpoint tensors,n/a,n/a,route-specific,BF16 inference,lm-eval-harness 0.4.12; Transformers 4.48.2; training-scaled RoPE and TorchTitan RMSNorm,42 evaluation seed,n/a,evaluation infrastructure,1,n/a,n/a,literal step 38000; MMLU 5-shot; HellaSwag 10-shot; WinoGrande 5-shot; ARC-Challenge 25-shot,final publication authority for exact step-38000 downstream comparison
